[2026-02-25 06:58:57] API: GET /api/Get/GetActiveJobTransactions Status: 200
[2026-02-25 07:08:34] API: GET /api/Get/getAllEmployees Status: 200
[2026-02-25 07:08:34] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 07:08:34] API: GET /api/Get/getAllMachines Status: 200
[2026-02-25 07:08:34] API: GET /api/Get/GetPostedTransactions?page=0&size=5000&search= Status: 200
[2026-02-25 07:20:35] API: POST /api/Auth/login Status: 200
[2026-02-25 07:20:37] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 07:20:37] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 07:20:37] API: GET /api/Get/GetEmployeeAndMachineStats Status: 200
[2026-02-25 07:20:37] API: POST /api/Post/GetTransactionOverview Status: 200
[2026-02-25 07:20:37] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 07:26:50] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 07:26:50] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 07:26:50] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 07:26:55] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 07:52:26] API: GET /api/Get/GetCompletedVerifyJob Status: 500
[2026-02-25 07:52:26] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 500
[2026-02-25 07:52:26] API: GET /api/Get/RolePageMappings?roleID=1 Status: 500
[2026-02-25 08:42:32] API: POST /api/Auth/login Status: 200
[2026-02-25 08:42:34] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 08:42:35] API: POST /api/Post/GetTransactionOverview Status: 200
[2026-02-25 08:42:35] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 08:42:35] API: GET /api/Get/GetEmployeeAndMachineStats Status: 200
[2026-02-25 08:42:35] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 08:49:13] API: GET /api/Get/GetEmployeeAndMachineStats Status: 200
[2026-02-25 08:49:13] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 08:49:13] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 08:49:13] API: POST /api/Post/GetTransactionOverview Status: 200
[2026-02-25 08:49:28] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 08:49:28] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 08:49:28] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 08:49:31] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 08:55:44] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 08:55:44] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 08:55:44] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 08:55:49] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:03:49] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:03:49] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:03:49] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:03:53] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:06:36] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:06:36] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:06:36] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:06:39] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:19:12] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:19:12] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:19:12] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:19:16] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:23:09] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:23:09] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:23:09] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:23:12] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:28:57] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:28:57] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:28:57] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:29:00] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:29:23] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:29:23] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:29:23] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:29:26] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:30:48] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:30:48] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:30:48] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:30:50] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:38:55] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:38:55] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:38:55] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:39:00] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:40:09] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:40:09] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:40:09] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:40:12] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:40:58] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:40:58] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:40:58] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:41:01] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:44:06] API: POST /api/Post/StartJob Status: 200
[2026-02-25 09:44:44] API: POST /api/Auth/login Status: 200
[2026-02-25 09:44:44] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:44:45] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:44:44] API: POST /api/Post/GetTransactionOverview Status: 200
[2026-02-25 09:44:45] API: GET /api/Get/GetEmployeeAndMachineStats Status: 200
[2026-02-25 09:44:45] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 09:44:57] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:44:57] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:44:57] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:45:00] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:45:00] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:45:00] API: POST /api/Post/GetTransactionOverview Status: 200
[2026-02-25 09:45:00] API: GET /api/Get/GetEmployeeAndMachineStats Status: 200
[2026-02-25 09:45:00] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 09:45:15] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:45:15] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:45:15] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:45:18] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:49:57] API: POST /api/Post/UpdateQCRemark Status: 200
[2026-02-25 09:50:10] API: POST /api/Post/CompleteJob Status: 200
[2026-02-25 09:50:14] API: GET /api/Get/GetVerifyTransactions?page=0&size=50&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:50:18] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 09:57:28] API: GET /api/Get/getAllEmployees Status: 200
[2026-02-25 09:57:28] API: GET /api/Get/getAllMachines Status: 200
[2026-02-25 09:57:28] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:57:28] API: GET /api/Get/GetPostedTransactions?page=0&size=5000&search= Status: 200
[2026-02-25 09:59:16] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 09:59:16] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 09:59:16] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 09:59:19] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 10:04:07] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 10:04:07] API: GET /api/Get/GetCompletedVerifyJob Status: 200
[2026-02-25 10:04:07] API: GET /api/Get/GetVerifyTransactions?page=0&size=5000&search=&emp_num=EE00025 Status: 200
[2026-02-25 10:04:16] API: GET /api/Get/IsNextJobActive Status: 200
[2026-02-25 10:20:46] API: GET /api/Get/getAllEmployees Status: 200
[2026-02-25 10:20:46] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 10:20:46] API: GET /api/Get/getAllMachines Status: 200
[2026-02-25 10:20:46] API: GET /api/Get/GetPostedTransactions?page=0&size=5000&search= Status: 200
[2026-02-25 10:35:31] API: GET /api/Get/RolePageMappings?roleID=1 Status: 200
[2026-02-25 10:35:31] API: POST /api/Post/GetTransactionOverview Status: 200
[2026-02-25 10:35:31] API: GET /api/Get/GetEmployeeAndMachineStats Status: 200
[2026-02-25 10:35:31] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 10:37:12] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 10:37:14] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 10:37:16] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 10:37:17] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 10:37:15] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 10:37:16] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 10:37:28] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 10:37:31] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 10:37:33] API: POST /api/Post/GetTransactionData Status: 200
[2026-02-25 10:37:34] API: POST /api/Post/GetTransactionData Status: 200
